"0","SURA MARE"
"1","CUTITUL DE ARGINT"
"2","ADESGO"
"3","COLEGIUL NATIONAL GH. SINCAI"
"4","UNIV. CRESTINA DIMITRIE CANTE"
"5","SCOALA GENERALA 81"
"6","PAPAZOGLU"
"7","BD. OCTAVIAN GOGA"
"8","POSTA VITAN"
"9","PIATA VITAN"
"10","BUCURESTI-MALL"
"11","ZIZIN"
"12","CALEA VITAN"
"13","LABORATOR"
"14","CALEA DUDESTI"
"15","BABA NOVAC"
"16","GHEORGHE PETRASCU"
"17","PIATA HURMUZACHI"
"18","VATRA LUMINOASA"
"19","PIATA IANCULUI"
"20","BD. FERDINAND"
"21","BUCUR OBOR"
"22","LIZEANU"
"23","DR. GROZOVICI"
"24","VASILE LASCAR"
"25","STADION DINAMO"
"26","CALEA DOROBANTILOR"
"27","ROMA"
"28","PASAJ VICTORIA"
"29","DR. FELIX"
"30","BD. BANU MANTA"
"31","PASAJUL BASARAB"
"32","POD GROZAVESTI"
"33","BD. IULIU MANIU"
"34","BD. TIMISOARA"
"35","PIATA DANNY HUWE"
"36","APRODEX"
"37","CALEA 13 SEPTEMBRIE"
"38","INOX"
"39","CALEA RAHOVEI"
"40","SPATARUL PREDA"
"41","SOSEAUA VIILOR"
"42","STEFAN HEPITES"
"43","PIATA EROII REVOLUTIEI"
"44","CIMITIRUL SERBAN VODA"
"45","DR. CONSTANTIN ISTRATI"
"46","BD. VASILE MILEA"
"47","MIEILOR"
"48","NERVA TRAIAN"
"49","UNIVERSITATEA CRESTINA DIMITR"
"50","CIMITIRUL EROII REVOLUTIEI"
"51","C.F.R. PROGRESUL"
"52","CAP. RADUCANU CRISTEA"
"53","ANGHEL NUTU"
"54","LUICA"
"55","CIMITIRUL PROGRESUL"
"56","BACIULUI"
"57","ZETARILOR"
"58","SOSEAUA GIURGIULUI"
"59","PIATA SF. GHEORGHE"
"60","HRISTO BOTEV"
"61","BD. CAROL I"
"62","BATISTEI"
"63","MARIA ROSETTI"
"64","PIATA GEMENI"
"65","TEATRUL METROPOLIS"
"66","SOSEAUA STEFAN CEL MARE"
"67","BD. LACUL TEI"
"68","ROSSINI"
"69","CEAIKOVSKI"
"70","GIUSEPPE VERDI"
"71","MUZEUL AVIATIEI"
"72","SOSEAUA PIPERA"
"73","MAGURICEA"
"74","PASAJ BANEASA"
"75","APICOLA"
"76","PIATA BANEASA"
"77","CIMITIRUL EVREIESC"
"78","DRUMUL GAZARULUI"
"79","TOPORASI"
"80","PIATA PROGRESUL"
"81","MUZEUL BACOVIA"
"82","AUTOGARA FILARET"
"83","PARCUL CAROL I"
"84","GRAMONT"
"85","PATRIARHIA ROMANA"
"86","PIATA UNIRII"
"87","11 IUNIE"
"88","DEPOUL MILITARI"
"89","INSCUT"
"90","S.C. VEST"
"91","URBIS"
"92","CESAROM"
"93","C.F.R. COTROCENI"
"94","VALEA CASCADELOR"
"95","RADOX"
"96","VALEA OLTULUI"
"97","FRIGOCOM"
"98","ROMANCIERILOR"
"99","COMPASULUI"
"100","BRASOV"
"101","SERGENT MOISE"
"102","SIBIU"
"103","SOSEAUA PROGRESULUI"
"104","CALEA FERENTARI"
"105","SOSEAUA SALAJ"
"106","CIBINULUI"
"107","ARMISTITIULUI"
"108","SULITEI"
"109","PIATA FERENTARI"
"110","VADUL NOU"
"111","VALTOAREI"
"112","CALEA PLEVNEI"
"113","SPITALUL PANAIT SARBU"
"114","PASAJ GRANT"
"115","CIMITIRUL CALVIN"
"116","GEORGE VALSAN"
"117","BD. CONSTRUCTORILOR"
"118","GODENI"
"119","PIATA GIULESTI"
"120","COPSA MICA"
"121","INSTITUTUL PASTEUR"
"122","DEPOUL GIULESTI"
"123","CARTIER 16 FEBRUARIE"
"124","PIATA SF. VINERI"
"125","ALEXANDRU SIHLEANU"
"126","HALA TRAIAN"
"127","BD. PACHE PROTOPOPESCU"
"128","HOREI"
"129","SOSEAUA MIHAI BRAVU"
"130","SOSEAUA PANTELIMON"
"131","CIMITIRUL ARMENESC"
"132","SOSEAUA IANCULUI"
"133","BD. CHISINAU"
"134","PICTOR HARLESCU"
"135","BD. BASARABIA"
"136","BAIA DE ARAMA"
"137","LUCRETIU PATRASCANU"
"138","BD. 1 DECEMBRIE 1918"
"139","BARAJUL IEZERU"
"140","BARAJUL ROVINARI"
"141","FAUR POARTA 4"
"142","SOSEAUA MORARILOR"
"143","BD. NICOLAE GRIGORESCU"
"144","BAICULUI"
"145","PIATA SF. STEFAN"
"146","PIATA CORNELIU COPOSU"
"147","MIHAI EMINESCU"
"148","TOAMNEI"
"149","REINVIERII"
"150","ALEXANDRU CEL BUN"
"151","TEIUL DOAMNEI"
"152","LACUL TEI"
"153","STRANDUL TEI"
"154","SOSEAUA FABRICA DE GLUCOZA"
"155","GELCAP"
"156","ROCIN"
"157","ELECTRONICA"
"158","PLATFORMA INDUSTRIALA PIPERA"
"159","GRIGORE MOISIL"
"160","ZIDURI MOSI"
"161","DOAMNA GHICA"
"162","RAUL COLENTINA"
"163","CARTIER COLENTINA"
"164","SPORTULUI"
"165","CORNISOR"
"166","NICOLAE CANEA"
"167","PASAJ COLENTINA"
"168","PIATA CHIRIGIU"
"169","PIATA REGINA MARIA"
"170","BD. DIMITRIE CANTEMIR"
"171","PASAJ MARASESTI"
"172","POLICLINICA VITAN"
"173","DEPOUL DUDESTI"
"174","DRISTORULUI"
"175","PIATA RAMNICU SARAT"
"176","VOLUNTARILOR"
"177","FIZICIENILOR"
"178","ILIOARA"
"179","PIATA TITAN"
"180","DUMBRAVA NOUA"
"181","OZANA"
"182","I.O.R. 2"
"183","STIROM"
"184","POLICOLOR"
"185","CHIMOPAR"
"186","COMPLEX RATB TITAN"
"187","CARTIER DAMAROAIA"
"188","IZBICENI"
"189","NEATARNARII"
"190","BD. BUCURESTII NOI"
"191","PAJUREI"
"192","DEPOUL BUCURESTII NOI"
"193","CARPATI"
"194","CLABUCET"
"195","AVIATOR POPISTEANU"
"196","PIATA DOMENII"
"197","BD. MARESAL AVERESCU"
"198","PIATA ION MIHALACHE"
"199","PIATA VICTORIEI"
"200","PIATA BUZESTI"
"201","MIRCEA VULCANESCU"
"202","RADIO ROMANIA"
"203","VASILE PARVAN"
"204","CISMIGIU"
"205","OSTASILOR"
"206","BD. GLORIEI"
"207","DEPOUL ALEXANDRIA"
"208","ANTIAERIANA"
"209","MARGEANULUI"
"210","PIATA RAHOVA"
"211","PETRE ISPIRESCU"
"212","CALEA GIULESTI"
"213","GARA BASARAB"
"214","REPUBLICA"
"215","FAUR"
"216","GRUP INDUSTRIAL TITAN"
"217","PIATA OBOR"
"218","SOSEAUA COLENTINA"
"219","TURMELOR"
"220","MAICA DOMNULUI"
"221","HALELE OBOR"
"222","OFICIUL POSTAL 72"
"223","POSTAVARULUI"
"224","LIVIU REBREANU"
"225","ARENA NATIONALA"
"226","PATINOAR"
"227","DELEA VECHE"
"228","UNIVERSITATEA HYPERION"
"229","PIATA PRESEI"
"230","AGRONOMIE"
"231","CASIN"
"232","BD. ION MIHALACHE"
"233","SOSEAUA CRANGASI"
"234","PIATA CRANGASI"
"235","POD CIUREL"
"236","ORSOVA"
"237","BD. UVERTURII"
"238","DRUMUL TABEREI"
"239","PARCUL DRUMUL TABEREI"
"240","GHENCEA"
"241","TURDA"
"242","UNIVERSITATEA ROMANO-AMERICANA"
"243","BD.EXPOZITIEI"
"244","GRIVITA"
"245","GARA DE NORD"
"246","BUZESTI"
"247","BD. EXPOZITIEI"
"248","MEZES"
"249","MARMUREI"
"250","CRINULUI"
"251","MINERVA"
"252","NAVIGATIEI"
"253","SOSEAUA CHITILEI"
"254","SUBCETATE"
"255","DR. CONSTANTIN CARACAS"
"256","LT. VICTOR MANU"
"257","BD. PIERRE DE COUBERTIN"
"258","SEBASTIAN"
"259","DRUMUL SARII"
"260","CIMITIRUL GHENCEA"
"261","MASTER"
"262","IMPRIMERIA NATIONALA"
"263","AUTOGARA MILITARI"
"264","APUSULUI"
"265","VALEA LUNGA"
"266","PIATA GORJULUI"
"267","RASARITULUI"
"268","VETERANILOR"
"269","LUJERULUI"
"270","LICEUL TUDOR VLADIMIRESCU"
"271","U.P.B."
"272","FACULTATEA ELECTRONICA"
"273","PIATA LEUL"
"274","CAROL DAVILA"
"275","POD COTROCENI"
"276","CASA STUDENTILOR"
"277","PIATA MIHAIL KOGALNICEANU"
"278","GRADINA CISMIGIU"
"279","UNIVERSITATE"
"280","PIATA ROSETTI"
"281","TEATRUL NATIONAL"
"282","FACULTATEA DE DREPT"
"283","STIRBEI VODA"
"284","GRADINA BOTANICA"
"285","BD. G-RAL VASILE MILEA"
"286","WITING"
"287","NUFARUL"
"288","METRO MILITARI"
"289","VICTORIA"
"290","GRUP SCOLAR AUTO"
"291","BD. DINICU GOLESCU"
"292","MINISTERUL TRANSPORTURILOR"
"293","DRIDU"
"294","FAUREI"
"295","PIATA PAJURA"
"296","R.A.R."
"297","LAINICI"
"298","KIEV"
"299","GRIRO"
"300","CARAIMAN"
"301","CIMITIRUL SFANTA VINERI"
"302","STOICA LUDESCU"
"303","SOSEAUA NICOLAE TITULESCU"
"304","POLIZU"
"305","SFINTII VOIEVOZI"
"306","CALEA GRIVITEI"
"307","NICOLAE TITULESCU"
"308","SPITALUL FUNDENI"
"309","BALOTULUI"
"310","CREMENITA (PIATA COLENTINA)"
"311","FAINARI"
"312","ARMENEASCA"
"313","CALEA MOSILOR"
"314","SUVEICA"
"315","VALEA ARGESULUI"
"316","DRUMUL TABEREI 98"
"317","ALEEA VLASIEI"
"318","LICEUL EUGEN LOVINESCU"
"319","1 MAI"
"320","DRUMETUL"
"321","FAVORIT"
"322","ORIZONT"
"323","FOISORUL DE FOC"
"324","AVRIG"
"325","GARA OBOR"
"326","OBORUL NOU"
"327","BD.TIMISOARA"
"328","RAUL DOAMNEI"
"329","POSTA"
"330","LICEUL NICHITA STANESCU"
"331","CONSTANTIN BRANCUSI"
"332","I.O.R."
"333","SOSEAUA CAMPIA LIBERTATII"
"334","ION TUCULESCU"
"335","AMAZOANEI"
"336","BD. DECEBAL"
"337","CALEA CALARASILOR"
"338","BISERICA DELEA VECHE"
"339","TEPES VODA"
"340","MATEI VOIEVOD"
"341","TRAIAN"
"342","INVINGATORILOR"
"343","TURNU MAGURELE"
"344","ALIORULUI"
"345","STRADUINTEI"
"346","DRAGOS MLADINOVICI"
"347","EMIL RACOVITA"
"348","SPITALUL DR. ALEXANDRU OBREGIA"
"349","ALEEA RAUL TARGULUI"
"350","CICEU"
"351","BD. ALEXANDRU OBREGIA"
"352","NITU VASILE"
"353","PIATA RESITA"
"354","STRAJA"
"355","IZVORUL RECE"
"356","BD. CONSTANTIN BRANCOVEANU"
"357","RESITA"
"358","PIATA SPANIEI"
"359","PIATA ROMANA"
"360","CALEA VICTORIEI"
"361","BD. ALEXANDRU IOAN CUZA"
"362","LICEUL EC. VIRGIL MADGEARU"
"363","BERZEI"
"364","AURA BUZESCU"
"365","AGRICULTORILOR"
"366","MECET"
"367","SCOALA IANCULUI"
"368","DUMITRU MARINESCU"
"369","TACERII"
"370","MANEA SERBAN"
"371","TRIMBITEI"
"372","PIATA 13 SEPTEMBRIE"
"373","NABUCULUI"
"374","LT. NICOLAE GAINA"
"375","TRAMBITEI"
"376","BD.CHISINAU"
"377","PARCUL TITAN"
"378","POLICLINICA TITAN"
"379","SOLD. MIHALE STELIAN"
"380","CODRII NEAMTULUI"
"381","COMPLEX COMERCIAL TITAN"
"382","SOSEAUA MIHAI BRAVU 33"
"383","CORA PANTELIMON"
"384","SOSEAUA DUDESTI-PANTELIMON"
"385","GRANITUL"
"386","SPITALUL NICOLAE MALAXA"
"387","BODESTI"
"388","FACULTATEA DE POMPIERI"
"389","SOS. MORARILOR"
"390","TANDAREI"
"391","C.E.T. SUD VITAN"
"392","GRUP SCOLAR IND. REPUBLICA"
"393","MEIULUI"
"394","COMPLEX COMERCIAL"
"395","SCOALA GENERALA 55"
"396","BUCUR"
"397","SOLDAT RADU TINA"
"398","CATANOAIA"
"399","SOSEAUA GARII CATELU"
"400","I. C. M. E. POARTA 1"
"401","FABRICA DE OXIGEN"
"402","ISOVOLTA"
"403","I.C.M.E.  POARTA 1"
"404","S.C. BUCUR"
"405","SPITALUL PANTELIMON"
"406","SOSEAUA FUNDENI"
"407","PIATA ALBA IULIA"
"408","LUCIAN BLAGA"
"409","BIBLIOTECA NATIONALA A ROMANIE"
"410","BD. I. C. BRATIANU"
"411","PIATA NATIUNILE UNITE"
"412","ELIE RADU"
"413","POD IZVOR"
"414","POD HASDEU"
"415","OPERA NATIONALA"
"416","POD EROILOR"
"417","FACULTATEA MEDICINA VETERINARA"
"418","PIATA UNIRII 1"
"419","MAIOR CORAVU"
"420","GHIDIGENI"
"421","DRUMUL COOPERATIVEI"
"422","PIATA DRUMUL TABEREI"
"423","DRUMUL TABEREI 35"
"424","PODUL GROZAVESTI"
"425","SOSEAUA ORHIDEELOR"
"426","TRAIAN VASILE"
"427","SPITALUL CFR 2"
"428","BD. REGIEI"
"429","DRUMUL TABEREI 34"
"430","PRELUNGIREA GHENCEA"
"431","ROSIA MONTANA"
"432","DEZROBIRII"
"433","CIMITIRUL MILITARI"
"434","ARAGONITULUI"
"435","GHIRLANDEI"
"436","MARGELELOR"
"437","BD. ANUL 1864"
"438","CATINEI"
"439","CARTIER ROSU"
"440","TUFANELELOR"
"441","STRAMOSILOR"
"442","BD.UVERTURII"
"443","TEATRUL MASCA"
"444","PASAJ LUJERULUI"
"445","C.F.R. CONSTANTA"
"446","PIPERA"
"447","MARIN DRACEA"
"448","BARBU VACARESCU"
"449","AUREL VLAICU"
"450","NICOLAE CARAMFIL"
"451","PASAJUL AVIATIEI"
"452","AEROPORTUL BANEASA"
"453","BRODINA"
"454","BIOTERRA"
"455","CORALILOR"
"456","NUFERILOR"
"457","FORADEX"
"458","COMBINATUL FONDULUI PLASTIC"
"459","JIULUI"
"460","DEPOZIT PAJURA"
"461","PARCUL BAZILESCU"
"462","JIMBOLIA"
"463","EPISCOPUL VULCAN"
"464","LAROMET"
"465","PRECIZIA"
"466","TRUSESTI"
"467","OASULUI"
"468","MIHAI VITEAZUL"
"469","MAICA TEOFANA"
"470","SOLD. ADRIAN PATRU"
"471","COMPLEX COMERCIAL COLOSSEUM"
"472","MAICA  TEOFANA"
"473","BD. LAMINORULUI"
"474","FACULTATEA BIOTERRA"
"475","SOSEAUA BUCURESTI-PLOIESTI"
"476","HOTEL PHOENICIA"
"477","CARUTASILOR"
"478","PIATA SFANTA VINERI"
"479","BD. MARASESTI"
"480","CIMITIRUL EROILOR REVOLUTIEI"
"481","OPRIS ILIE"
"482","SECUILOR"
"483","SPITALUL DE COPII"
"484","IZVORUL CRISULUI"
"485","LAMOTESTI"
"486","IZVORUL OLTULUI"
"487","UCEA"
"488","ANGHEL ALEXANDRU"
"489","RADUCANU CRISTEA"
"490","GARA PROGRESUL"
"491","COVASNA"
"492","MIRCEA VODA"
"493","MATEI BASARAB"
"494","CARTIER CONFORT URBAN"
"495","PIATA PUCHENI"
"496","BACAU"
"497","AMURGULUI"
"498","PECINEAGA"
"499","FABRICA DE PAINE"
"500","DOINA"
"501","SOS. VIILOR"
"502","NASAUD"
"503","PIATA 21 DECEMBRIE 1989"
"504","SPITALUL UNIVERSITAR"
"505","UNIVERSITATEA NATIONALA DE APA"
"506","DR. MIHAI CIUCA"
